title,author,tags,date_published,section
Police arrest Anambra evangelist for attempting to rape teenager,,[],11 April 2022,News
Kanu’s lawyer faults secret trial of terrorism cases,,[],11 April 2022,News
New NYSC spokesman resumes today,,[],11 April 2022,News
Train attack: Terrorists release fresh video of kidnap victims,,"['Abuja-Kaduna train', 'Train attack']",11 April 2022,News
"Village head, 14 others die in fresh Kaduna attack",,"['Kaduna attack', 'Village Head']",11 April 2022,News
Rep seeks release of detained Ebonyi catholic priest,,"['Enugu Catholic priest', 'House of Reps']",11 April 2022,News
"‘10,985 Lagos residents receiving bi-monthly stipends’",,"['Lagos State', 'World Bank']",11 April 2022,News
Three million residents vote as Katsina holds LG election,,"['Katsina State', 'local government elections']",11 April 2022,News
"Gunmen kill four Abuja MCBAN members, abduct others",,"['Abuja', 'gunmen', 'MACBAN']",11 April 2022,News
Christians mark Palm Sunday with processions,,['Palm Sunday'],11 April 2022,News
Police probe robbery at Ayefele’s Ibadan radio station,,"['Police probe', 'radio station', 'Yinka Ayefele']",11 April 2022,News
‘Don’t blame Emefiele for decline in naira value’,,"['Godwin Emefiele', 'naira crash']",11 April 2022,News
"Oni decries Ekiti pensioners’ plight, says better days ahead",,"['Ekiti pensioners', 'Ekiti State', 'Segun Oni']",11 April 2022,News
"Buhari, Sanwo-Olu, Adesina congratulate Dangote at 65","
Stephen Angbulu and Victor Ayeni ","['Aliko Dangote', 'buhari', 'Femi ADesina', 'Sanwo-olu']",11 April 2022,News
"Thugs injure lawmaker, others in Enugu, Ekweremadu kicks","
Leke Baiyewu and Raphael Ede ","['Enugu lawmaker', 'Ike Ekweremadu']",11 April 2022,News
LASG asks traditional medicine practitioners to obey rules,,"['Lagos State', 'traditional medicine']",11 April 2022,News
Why March pension was delayed – Kogi govt,,"['kogi government', 'pension']",10 April 2022,News
Barring journalists from terrorism trials unconstitutional -Nnamdi Kanu’s lawyer,,"['IPOB', 'Nnamdi Kanu']",10 April 2022,News
"Insecurity: World sits on gunpowder, heads for implosion – Chancellor",,"['Chancellor', 'insecurity']",10 April 2022,News
Women often treated as second class humans – Ondo first lady,,['women'],10 April 2022,News
NYSC appoints ex-Lagos coordinator Megwa as new spokesperson,,['NYSC'],10 April 2022,News
"Anambra: Let’s take our land back from criminals, Soludo seeks residents’ support",,"['Anambra', 'Charles Soludo']",10 April 2022,News
"Community leader, 14 others killed in fresh Kaduna crisis",,"['Kaduna crisis', 'Kaduna killings']",10 April 2022,News
Osinachi Nwachukwu: Why Churches must frown on violence against women – Ezekwesili,,"['Obi Ezekwesili', 'Osinachi']",10 April 2022,News
